date,employee_title,location,review_title,Review,rating_overall,rating_balance,rating_benefits,rating_job_security,rating_management,rating_culture
" October 30, 2019",PROJECT MANAGEMENT," Washington, DC ",Great place to build a career.,15 years with SAIC. I gained much real life experience in IT with SAIC at many levels. I was promoted from within from HD technician to site manager with the same client.,4,4,4,4,4,4
" October 15, 2019",Senior Systems Engineer, Washington DC ,"Challenging, collaborative, interesting","Work day included meetings with clients, team, management; writing notes, reports; doing research.
I learned a lot about cybersecurity, and software countermeasures.
Management was mixed -- some supportive, some not available
Workplace was casual but challenging
Enjoyed co-workers and work assignments
At the end, could not find job situation that suited my background and health requirements",5,5,5,5,3,5
" October 8, 2019",Sr. Storage/System Engineer Serve," Washington, DC ",Productive and fun,"I am telework for last few years, however, with our management help, we meet frequently every few months to socialize. The hardest of telework is not meet your co-worker and regular working life style.",4,4,3,4,4,4
" August 27, 2019",Network Support Specialist," Washington, DC 20549 ",Productive workplace with highly effective technical teams,"Productive workplace with highly effective technical teams.
Tremendous training opportunities with SAIC. Isaac and E-learning portals are excellent training tools.",5,5,5,5,5,5
" August 22, 2019",Tier II Desktop Support Technician," Washington, DC ",Trash Company,Bad news from start to finish. Small bonuses. The company does not care about its employees only its bottom line. Sad to see such a huge company do less but expect more for its employees.,1,4,4,1,1,1
" August 4, 2019",Field Service Engineer II/Queue Manager," Washington, DC ",Employee Dedication,"SAIC is a very good company to work for. I have had an excellent experience with them. SAIC does pride themselves in trying to hold on to their employees when a contract has ended or a person gets laid off. They do invest in trying to keep their staff when things happen. I am not sure why I am getting all these questions on SAIC, the company is well structured and have been around in the Government Contracting Business for a long time and they are good at what they do!",5,5,5,5,5,5
" August 1, 2019",Assistant Business Manager / Assistant," Washington, DC ",Flexible environment with experienced and confident managers.,"Flexible environment with experienced and confident managers. Numerous contracts to work in the Washington, DC Metropolitan area. SAIC attracts good people.",5,5,5,4,4,4
" June 14, 2019",Systems Administrator," Washington, DC ",O.k. But There Are Problems,"I work in a tiny office where everyone there feels threatened by each other, except for one person. There is no teamwork there and mostly everyone, including the new guy of 2 weeks, are superficial towards each other. They need to learn how to work as a team and communicate more. Also, the company need to streamline their hiring processes to hire quality people, rather than the people that are just there simply to collect a paycheck, stay lazy and be disrespectful to senior employees. In addition, when they promote from within, they select sometimes people that are not qualified to deal with the power that goes with it. On the other hand, people at the main office are super-chill and are cohesive team players.",4,4,3,3,2,2
" April 1, 2019",Data Converged Engineer," Washington, DC ",Great place to work,"Great place to work and the only reason I am moving on is due to a contract change. Working on a Government contract definitely had it’s ups and downs, mostly ups. Being a retired Marine I meet a lot of new people mostly prior enlist. They worked hard and made the job fun. One thing that’s hard though is when losing a contract and the company has to shut the program down. Lots of people were laid off, but SAIC does give you 30 days with pay to look for another job or find another job within the company with the help of their relocation program, although it has been hard for me to find a new job within the company. I would love to stay but I guess it’s just time for me to move on.",4,4,4,4,4,4
" March 31, 2019",Administrative Assistant," Washington, DC ",Na,"I really don't have anything to say about SAIC, It was ok to work for this co, but the pay could have been better and the hours per month were terrible with the contract I was on.",2,2,2,2,2,1
" March 25, 2019",Sr. Information Security Specialist," Washington, DC ",Awesome Company,SAIC was my first company out the door from military retirement. It was a great company that offered plenty of training opportunities and leadership positions. Management was always available to address questions and offer advice if needed. Loved SAIC!,5,5,5,5,4,5
" March 30, 2020",Senior Program Analyst," Washington, DC ",Good company,Working for the FAA. Like my job. Company has been very fair in raises and flexibility as I am a single parent. They reward a job well done. Occasional bonuses as well.,5,5,5,5,5,5
" February 18, 2019",Mobile/Desktop System Administrator," Washington, DC ",Productive with good people,The work remains number as the number one goal and people are friendly with each other. Everyone understands the goals and works towards helping others.,5,5,5,5,5,5
" January 21, 2019",Senior Program Management Analyst," Washington, DC ",SAIC Is an Excellent Company,SAIC is an excellent company to work for. I have no complaints. Their benefits package is excellent and they value their employees. I highly recommend SAIC employment.,5,5,5,5,5,5
" January 8, 2019",Program Analyst," Washington, DC ",Light Corporate Touch,"My time at SAIC has been on a single contract. My take is that the culture largely depends on the contract one supports; the projects and priorities often touted on the corporate intranet don't always align with how the satellite offices operate. Rather, the office will - quite understandably - try to mirror initiatives that the government customer is concerned with.",3,2,4,3,3,2
" January 8, 2019",AEGIS Modernization GFE Delivery Coordinator," Washington, DC ",High level work atmosphere.,"At SAIC you will be working with peers that are competent, helpful, and generally enjoyable to work with. SAIC mainly works with government contracts and has continued to grow during the three years that I have been with the company.",5,5,4,4,5,5
